Variable, RAL, datasetOnDisk, 33263.666608, 33310.527712, 46.861104, 1.000000
Variable, RAL, datasetOnTape, 0.000000, 33310.527712, 33310.527712, 0.000000
Variable, PIC, power, 0.000000, 33310.527712, 33310.527712, 1000000000.000000
Variable, PIC, activeCore, 0.000000, 33310.527712, 33310.527712, 0.000000
Variable, PIC, corruptedCore, 0.000000, 33310.527712, 33310.527712, 0.000000
Variable, PIC, inputData, 0.000000, 33310.527712, 33310.527712, 0.000000
Variable, PIC, outputData, 0.000000, 33310.527712, 33310.527712, 0.000000
Variable, PIC, datasetOnDisk, 0.000000, 33263.666608, 33263.666608, 0.000000
Variable, PIC, datasetOnDisk, 33263.666608, 33310.527712, 46.861104, 1.000000
Variable, PIC, datasetOnTape, 0.000000, 33310.527712, 33310.527712, 0.000000
Variable, IN2P3, power, 0.000000, 33310.527712, 33310.527712, 1000000000.000000
Variable, IN2P3, activeCore, 0.000000, 33310.527712, 33310.527712, 0.000000
Variable, IN2P3, corruptedCore, 0.000000, 33310.527712, 33310.527712, 0.000000
Variable, IN2P3, inputData, 0.000000, 33310.527712, 33310.527712, 0.000000
Variable, IN2P3, outputData, 0.000000, 33310.527712, 33310.527712, 0.000000
Variable, IN2P3, datasetOnDisk, 0.000000, 33263.666608, 33263.666608, 0.000000
Variable, IN2P3, datasetOnDisk, 33263.666608, 33310.527712, 46.861104, 1.000000
Variable, IN2P3, datasetOnTape, 0.000000, 33310.527712, 33310.527712, 0.000000
Variable, GRIDKA, power, 0.000000, 33310.527712, 33310.527712, 1000000000.000000
Variable, GRIDKA, activeCore, 0.000000, 33310.527712, 33310.527712, 0.000000
Variable, GRIDKA, corruptedCore, 0.000000, 33310.527712, 33310.527712, 0.000000
Variable, GRIDKA, inputData, 0.000000, 33310.527712, 33310.527712, 0.000000
Variable, GRIDKA, outputData, 0.000000, 33310.527712, 33310.527712, 0.000000
Variable, GRIDKA, datasetOnDisk, 0.000000, 33263.666608, 33263.666608, 0.000000
Variable, GRIDKA, datasetOnDisk, 33263.666608, 33310.527712, 46.861104, 1.000000
Variable, GRIDKA, datasetOnTape, 0.000000, 33310.527712, 33310.527712, 0.000000
Variable, CNAF, power, 0.000000, 33310.527712, 33310.527712, 1000000000.000000
Variable, CNAF, activeCore, 0.000000, 33310.527712, 33310.527712, 0.000000
Variable, CNAF, corruptedCore, 0.000000, 33310.527712, 33310.527712, 0.000000
Variable, CNAF, inputData, 0.000000, 33310.527712, 33310.527712, 0.000000
Variable, CNAF, outputData, 0.000000, 33310.527712, 33310.527712, 0.000000
Variable, CNAF, datasetOnDisk, 0.000000, 33263.666608, 33263.666608, 0.000000
Variable, CNAF, datasetOnDisk, 33263.666608, 33310.527712, 46.861104, 1.000000
Variable, CNAF, datasetOnTape, 0.000000, 33310.527712, 33310.527712, 0.000000
Variable, CERN, CERN1, 0.000000, 33263.666608, 33263.666608, 0.000000
Variable, CERN, CERN1, 33263.666608, 33310.527712, 46.861104, 473344480.000000
Variable, CERN, CNAF0, 0.000000, 33310.527712, 33310.527712, 0.000000
Variable, CERN, CNAF1, 0.000000, 33263.666608, 33263.666608, 0.000000
Variable, CERN, CNAF1, 33263.666608, 33310.527712, 46.861104, 473344480.000000
Variable, CERN, IN2P30, 0.000000, 33310.527712, 33310.527712, 0.000000
Variable, CERN, IN2P31, 0.000000, 33263.666608, 33263.666608, 0.000000
Variable, CERN, IN2P31, 33263.666608, 33310.527712, 46.861104, 473344480.000000
Variable, CERN, RRCKI0, 0.000000, 32983.553143, 32983.553143, 0.000000
Variable, CERN, RRCKI0, 32983.553143, 33310.527712, 326.974569, 473344480.000000
Variable, CERN, RRCKI1, 0.000000, 32931.717924, 32931.717924, 0.000000
Variable, CERN, RRCKI1, 32931.717924, 33310.527712, 378.809788, 473344480.000000
Variable, CERN, PIC0, 0.000000, 33310.527712, 33310.527712, 0.000000
Variable, CERN, PIC1, 0.000000, 33263.666608, 33263.666608, 0.000000
Variable, CERN, PIC1, 33263.666608, 33310.527712, 46.861104, 473344480.000000
Variable, CERN, RAL0, 0.000000, 33310.527712, 33310.527712, 0.000000
Variable, CERN, power, 0.000000, 33310.527712, 33310.527712, 1000000000.000000
Variable, CERN, RAL1, 0.000000, 33263.666608, 33263.666608, 0.000000
Variable, CERN, RAL1, 33263.666608, 33310.527712, 46.861104, 473344480.000000
Variable, CERN, GRIDKA0, 0.000000, 33310.527712, 33310.527712, 0.000000
Variable, CERN, GRIDKA1, 0.000000, 33263.666608, 33263.666608, 0.000000
Variable, CERN, GRIDKA1, 33263.666608, 33310.527712, 46.861104, 473344480.000000
Variable, CERN, SARA0, 0.000000, 33310.527712, 33310.527712, 0.000000
Variable, CERN, SARA1, 0.000000, 33263.666608, 33263.666608, 0.000000
Variable, CERN, SARA1, 33263.666608, 33310.527712, 46.861104, 473344480.000000
Variable, CERN, activeCore, 0.000000, 33310.527712, 33310.527712, 0.000000
Variable, CERN, corruptedCore, 0.000000, 33310.527712, 33310.527712, 0.000000
Variable, CERN, inputData, 0.000000, 33310.527712, 33310.527712, 0.000000
Variable, CERN, outputData, 0.000000, 33310.527712, 33310.527712, 0.000000
Variable, CERN, datasetOnDisk, 0.000000, 33263.666608, 33263.666608, 0.000000
Variable, CERN, datasetOnDisk, 33263.666608, 33310.527712, 46.861104, 1.000000
Variable, CERN, datasetOnTape, 0.000000, 33310.527712, 33310.527712, 0.000000
Variable, CERN, datasetOnTape, 33310.527712, 33310.527712, 0.000000, 1.000000
Variable, CERN, CERN0, 0.000000, 33310.527712, 33310.527712, 0.000000
Variable, CERN, CERN0, 33310.527712, 33310.527712, 0.000000, 473344480.000000
