Country,Federation,Pledge Type,ALICE,% of Req.,ATLAS,% of Req.,CMS,% of Req.,LHCb,% of Req.,SUM,% of Req.
Slovakia,Slovak Tier2 Federation,CPU (HEP-SPEC06),5800,2%,5800,1%,,,,,11600,1%
Slovakia,Slovak Tier2 Federation,Disk (Tbytes),400,2%,400,1%,,,,,800,1%
Slovenia,SiGNET,CPU (HEP-SPEC06),,,25000,4%,,,,,25000,4%
Slovenia,SiGNET,Disk (Tbytes),,,2000,3%,,,,,2000,3%
South Africa,CHPC Tier2,CPU (HEP-SPEC06),6000,3%,,,,,,,6000,3%
South Africa,CHPC Tier2,Disk (Tbytes),100,0%,,,,,,,100,0%
Spain,ATLAS Federation,CPU (HEP-SPEC06),,,28300,5%,,,,,28300,5%
Spain,ATLAS Federation,Disk (Tbytes),,,3600,5%,,,,,3600,5%
Spain,CMS Federation,CPU (HEP-SPEC06),,,,,35000,5%,,,35000,5%
Spain,CMS Federation,Disk (Tbytes),,,,,2000,5%,,,2000,5%
Spain,LHCb Federation,CPU (HEP-SPEC06),,,,,,,5265,7%,5265,7%
Spain,LHCb Federation,Disk (Tbytes),,,,,,,1,0%,1,0%
Sweden,SNIC Tier-2,CPU (HEP-SPEC06),2820,1%,5050,1%,,,,,7870,1%
Sweden,SNIC Tier-2,Disk (Tbytes),400,2%,520,1%,,,,,920,1%
Switzerland,CHIPP,CPU (HEP-SPEC06),,,24500,4%,14500,2%,10000,12%,49000,4%
Switzerland,CHIPP,Disk (Tbytes),,,1380,2%,1030,3%,540,19%,2950,3%
Taiwan,Taiwan Analysis Facility Federation,CPU (HEP-SPEC06),,,4000,1%,0,0%,,,4000,0%
Taiwan,Taiwan Analysis Facility Federation,Disk (Tbytes),,,500,1%,0,0%,,,500,0%
Taiwan,Taiwan CMS Federation,CPU (HEP-SPEC06),,,,,5000,1%,,,5000,1%
Taiwan,Taiwan CMS Federation,Disk (Tbytes),,,,,384,1%,,,384,1%
Thailand,National e-Science Infrastructure Consortium,CPU (HEP-SPEC06),1400,1%,,,4700,1%,,,6100,1%
Thailand,National e-Science Infrastructure Consortium,Disk (Tbytes),100,0%,,,300,1%,,,400,1%
Turkey,Turkish Tier-2 Federation,CPU (HEP-SPEC06),,,5100,1%,4700,1%,,,9800,1%
Turkey,Turkish Tier-2 Federation,Disk (Tbytes),,,550,1%,350,1%,,,900,1%
UK,London Tier 2,CPU (HEP-SPEC06),0,0%,15305,3%,24710,4%,2273,3%,42288,3%
UK,London Tier 2,Disk (Tbytes),0,0%,1949,3%,1341,4%,300,11%,3590,3%
UK,NorthGrid,CPU (HEP-SPEC06),0,0%,20038,4%,0,0%,7577,9%,27615,2%
UK,NorthGrid,Disk (Tbytes),0,0%,2552,4%,0,0%,300,11%,2852,2%
UK,ScotGrid,CPU (HEP-SPEC06),0,0%,11620,2%,0,0%,1903,2%,13523,1%
UK,ScotGrid,Disk (Tbytes),0,0%,1480,2%,0,0%,1,0%,1481,1%
UK,SouthGrid,CPU (HEP-SPEC06),4740,2%,9637,2%,10290,1%,6727,8%,31394,2%
UK,SouthGrid,Disk (Tbytes),522,2%,1227,2%,559,1%,300,11%,2608,2%
USA,Caltech CMS T2,CPU (HEP-SPEC06),,,,,25000,4%,,,25000,4%
USA,Caltech CMS T2,Disk (Tbytes),,,,,1360,4%,,,1360,4%
USA,Florida CMS T2,CPU (HEP-SPEC06),,,,,25000,4%,,,25000,4%
USA,Florida CMS T2,Disk (Tbytes),,,,,1360,4%,,,1360,4%
USA,Great Lakes ATLAS T2,CPU (HEP-SPEC06),,,24000,4%,,,,,24000,4%
