Variable, GRIDKA-IN2P3-LHCOPN-001, traffic, 0.000000, 685.878226, 685.878226, 0.000000
Variable, GRIDKA-IN2P3-LHCOPN-001, traffic, 685.878226, 2257.634326, 1571.756100, 3771377408.000000
Variable, GRIDKA-IN2P3-LHCOPN-001, traffic, 2257.634326, 2496.250714, 238.616388, 6706511872.000000
Variable, GRIDKA-IN2P3-LHCOPN-001, traffic, 2496.250714, 3999.862158, 1503.611444, 13087627264.000000
Variable, GRIDKA-IN2P3-LHCOPN-001, traffic, 3999.862158, 4376.266281, 376.404123, 13178432128.000000
Variable, GRIDKA-IN2P3-LHCOPN-001, traffic, 4376.266281, 4571.012381, 194.746100, 13369404176.000000
Variable, GRIDKA-IN2P3-LHCOPN-001, traffic, 4571.012381, 11411.552292, 6840.539911, 13449132736.000000
Variable, GRIDKA-IN2P3-LHCOPN-001, traffic, 11411.552292, 12192.336673, 780.784381, 13573716848.000000
Variable, GRIDKA-IN2P3-LHCOPN-001, traffic, 12192.336673, 12236.636534, 44.299861, 13641924568.000000
Variable, GRIDKA-IN2P3-LHCOPN-001, traffic, 12236.636534, 14045.292439, 1808.655905, 13710132288.000000
Variable, GRIDKA-IN2P3-LHCOPN-001, traffic, 14045.292439, 18682.948572, 4637.656133, 16645266752.000000
Variable, GRIDKA-IN2P3-LHCOPN-001, traffic, 18682.948572, 20290.434054, 1607.485482, 43732268352.000000
Variable, GRIDKA-IN2P3-LHCOPN-001, traffic, 20290.434054, 30325.373621, 10034.939567, 43910722640.000000
Variable, GRIDKA-IN2P3-LHCOPN-001, traffic, 30325.373621, 37255.097590, 6929.723969, 43984059648.000000
Variable, GRIDKA-IN2P3-LHCOPN-001, traffic, 37255.097590, 37992.093851, 736.996261, 44047729072.000000
Variable, GRIDKA-IN2P3-LHCOPN-001, traffic, 37992.093851, 39750.016129, 1757.922278, 44137071944.000000
Variable, GRIDKA-IN2P3-LHCOPN-001, traffic, 39750.016129, 39805.663582, 55.647453, 44201949384.000000
Variable, GRIDKA-IN2P3-LHCOPN-001, traffic, 39805.663582, 41484.414293, 1678.750711, 44266826824.000000
Variable, GRIDKA-IN2P3-LHCOPN-001, traffic, 41484.414293, 46768.014143, 5283.599850, 81007053896.000000
Variable, GRIDKA-IN2P3-LHCOPN-001, traffic, 46768.014143, 46799.807036, 31.792893, 81080480344.000000
Variable, GRIDKA-IN2P3-LHCOPN-001, traffic, 46799.807036, 47540.316992, 740.509956, 81153906792.000000
Variable, GRIDKA-IN2P3-LHCOPN-001, traffic, 47540.316992, 48334.400475, 794.083483, 96962412648.000000
Variable, GRIDKA-IN2P3-LHCOPN-001, traffic, 48334.400475, 50297.260895, 1962.860420, 112770918504.000000
Variable, GRIDKA-IN2P3-LHCOPN-001, traffic, 50297.260895, 51039.508351, 742.247456, 112867834144.000000
Variable, GRIDKA-IN2P3-LHCOPN-001, traffic, 51039.508351, 51253.072099, 213.563748, 112937884376.000000
Variable, GRIDKA-IN2P3-LHCOPN-001, traffic, 51253.072099, 53022.127968, 1769.055869, 148965993176.000000
Variable, GRIDKA-IN2P3-LHCOPN-001, traffic, 53022.127968, 57505.908379, 4483.780411, 149065486536.000000
Variable, GRIDKA-IN2P3-LHCOPN-001, traffic, 57505.908379, 59570.316366, 2064.407987, 182985308360.000000
Variable, GRIDKA-IN2P3-LHCOPN-001, traffic, 59570.316366, 63039.314390, 3468.998024, 183075489592.000000
Variable, GRIDKA-IN2P3-LHCOPN-001, traffic, 63039.314390, 64224.264337, 1184.949947, 183161999448.000000
Variable, GRIDKA-IN2P3-LHCOPN-001, traffic, 64224.264337, 64758.376053, 534.111716, 183238285080.000000
Variable, GRIDKA-IN2P3-LHCOPN-001, traffic, 64758.376053, 65402.146381, 643.770328, 183302671764.000000
Variable, GRIDKA-IN2P3-LHCOPN-001, traffic, 65402.146381, 67912.718437, 2510.572056, 214579328404.000000
Variable, GRIDKA-IN2P3-LHCOPN-001, traffic, 67912.718437, 70420.636161, 2507.917724, 240641215892.000000
Variable, GRIDKA-IN2P3-LHCOPN-001, traffic, 70420.636161, 71332.282704, 911.646543, 240720461980.000000
